LocID,PerilID,CoverageTypeID,Status,Message
174,WTC,1,fail,vulnerability_id has an unknown id
176,WTC,1,fail,vulnerability_id has an unknown id
177,WTC,1,fail,area_peril_id has an unknown id
178,WTC,1,fail,area_peril_id has an unknown id
179,WTC,1,fail,area_peril_id has an unknown id
180,WTC,1,fail,area_peril_id has an unknown id
181,WTC,1,fail,area_peril_id has an unknown id
182,WTC,1,fail,vulnerability_id has an unknown id
183,WTC,1,fail,vulnerability_id has an unknown id
185,WTC,1,fail,vulnerability_id has an unknown id
186,WTC,1,fail,vulnerability_id has an unknown id
187,WTC,1,fail,vulnerability_id has an unknown id
188,WTC,1,fail,vulnerability_id has an unknown id
189,WTC,1,fail,vulnerability_id has an unknown id
190,WTC,1,fail,vulnerability_id has an unknown id
191,WTC,1,fail,vulnerability_id has an unknown id
192,WTC,1,fail,area_peril_id has an unknown id
193,WTC,1,fail,vulnerability_id has an unknown id
194,WTC,1,fail,area_peril_id has an unknown id
196,WTC,1,fail,area_peril_id has an unknown id
197,WTC,1,fail,area_peril_id has an unknown id
199,WTC,1,fail,vulnerability_id has an unknown id
200,WTC,1,fail,area_peril_id has an unknown id
201,WTC,1,fail,vulnerability_id has an unknown id
202,WTC,1,fail,vulnerability_id has an unknown id
203,WTC,1,fail,vulnerability_id has an unknown id
204,WTC,1,fail,vulnerability_id has an unknown id
205,WTC,1,fail,vulnerability_id has an unknown id
207,WTC,1,fail,area_peril_id has an unknown id
208,WTC,1,fail,vulnerability_id has an unknown id
209,WTC,1,fail,vulnerability_id has an unknown id
210,WTC,1,fail,vulnerability_id has an unknown id
211,WTC,1,fail,vulnerability_id has an unknown id
212,WTC,1,fail,vulnerability_id has an unknown id
213,WTC,1,fail,vulnerability_id has an unknown id
214,WTC,1,fail,vulnerability_id has an unknown id
215,WTC,1,fail,vulnerability_id has an unknown id
216,WTC,1,fail,vulnerability_id has an unknown id
219,WTC,1,fail,vulnerability_id has an unknown id
220,WTC,1,fail,vulnerability_id has an unknown id
221,WTC,1,fail,vulnerability_id has an unknown id
222,WTC,1,fail,area_peril_id has an unknown id
223,WTC,1,fail,area_peril_id has an unknown id
224,WTC,1,fail,vulnerability_id has an unknown id
225,WTC,1,fail,area_peril_id has an unknown id
226,WTC,1,fail,vulnerability_id has an unknown id
227,WTC,1,fail,area_peril_id has an unknown id
228,WTC,1,fail,vulnerability_id has an unknown id
230,WTC,1,fail,vulnerability_id has an unknown id
231,WTC,1,fail,vulnerability_id has an unknown id
232,WTC,1,fail,vulnerability_id has an unknown id
233,WTC,1,fail,vulnerability_id has an unknown id
234,WTC,1,fail,vulnerability_id has an unknown id
235,WTC,1,fail,vulnerability_id has an unknown id
236,WTC,1,fail,vulnerability_id has an unknown id
237,WTC,1,fail,area_peril_id has an unknown id
238,WTC,1,fail,vulnerability_id has an unknown id
239,WTC,1,fail,vulnerability_id has an unknown id
241,WTC,1,fail,vulnerability_id has an unknown id
242,WTC,1,fail,area_peril_id has an unknown id
243,WTC,1,fail,area_peril_id has an unknown id
244,WTC,1,fail,vulnerability_id has an unknown id
245,WTC,1,fail,vulnerability_id has an unknown id
246,WTC,1,fail,area_peril_id has an unknown id
247,WTC,1,fail,vulnerability_id has an unknown id
248,WTC,1,fail,area_peril_id has an unknown id
249,WTC,1,fail,vulnerability_id has an unknown id
250,WTC,1,fail,vulnerability_id has an unknown id
252,WTC,1,fail,vulnerability_id has an unknown id
253,WTC,1,fail,vulnerability_id has an unknown id
254,WTC,1,fail,vulnerability_id has an unknown id
255,WTC,1,fail,vulnerability_id has an unknown id
256,WTC,1,fail,vulnerability_id has an unknown id
257,WTC,1,fail,vulnerability_id has an unknown id
258,WTC,1,fail,vulnerability_id has an unknown id
259,WTC,1,fail,vulnerability_id has an unknown id
260,WTC,1,fail,vulnerability_id has an unknown id
261,WTC,1,fail,area_peril_id has an unknown id
263,WTC,1,fail,area_peril_id has an unknown id
264,WTC,1,fail,area_peril_id has an unknown id
265,WTC,1,fail,area_peril_id has an unknown id
266,WTC,1,fail,area_peril_id has an unknown id
267,WTC,1,fail,area_peril_id has an unknown id
268,WTC,1,fail,area_peril_id has an unknown id
269,WTC,1,fail,area_peril_id has an unknown id
270,WTC,1,fail,area_peril_id has an unknown id
271,WTC,1,fail,area_peril_id has an unknown id
272,WTC,1,fail,area_peril_id has an unknown id
274,WTC,1,fail,vulnerability_id has an unknown id
275,WTC,1,fail,vulnerability_id has an unknown id
276,WTC,1,fail,vulnerability_id has an unknown id
277,WTC,1,fail,area_peril_id has an unknown id
278,WTC,1,fail,area_peril_id has an unknown id
279,WTC,1,fail,area_peril_id has an unknown id
280,WTC,1,fail,vulnerability_id has an unknown id
281,WTC,1,fail,area_peril_id has an unknown id
282,WTC,1,fail,area_peril_id has an unknown id
283,WTC,1,fail,area_peril_id has an unknown id
285,WTC,1,fail,area_peril_id has an unknown id
286,WTC,1,fail,area_peril_id has an unknown id
287,WTC,1,fail,area_peril_id has an unknown id
288,WTC,1,fail,area_peril_id has an unknown id
289,WTC,1,fail,area_peril_id has an unknown id
290,WTC,1,fail,area_peril_id has an unknown id
291,WTC,1,fail,area_peril_id has an unknown id
292,WTC,1,fail,area_peril_id has an unknown id
293,WTC,1,fail,area_peril_id has an unknown id
294,WTC,1,fail,area_peril_id has an unknown id
296,WTC,1,fail,area_peril_id has an unknown id
297,WTC,1,fail,area_peril_id has an unknown id
298,WTC,1,fail,area_peril_id has an unknown id
299,WTC,1,fail,area_peril_id has an unknown id
300,WTC,1,fail,area_peril_id has an unknown id
301,WTC,1,fail,area_peril_id has an unknown id
302,WTC,1,fail,area_peril_id has an unknown id
303,WTC,1,fail,area_peril_id has an unknown id
304,WTC,1,fail,vulnerability_id has an unknown id
305,WTC,1,fail,vulnerability_id has an unknown id
307,WTC,1,fail,area_peril_id has an unknown id
308,WTC,1,fail,area_peril_id has an unknown id
309,WTC,1,fail,area_peril_id has an unknown id
310,WTC,1,fail,area_peril_id has an unknown id
311,WTC,1,fail,area_peril_id has an unknown id
312,WTC,1,fail,area_peril_id has an unknown id
313,WTC,1,fail,area_peril_id has an unknown id
314,WTC,1,fail,area_peril_id has an unknown id
315,WTC,1,fail,area_peril_id has an unknown id
316,WTC,1,fail,vulnerability_id has an unknown id
318,WTC,1,fail,vulnerability_id has an unknown id
319,WTC,1,fail,area_peril_id has an unknown id
320,WTC,1,fail,area_peril_id has an unknown id
321,WTC,1,fail,area_peril_id has an unknown id
322,WTC,1,fail,vulnerability_id has an unknown id
323,WTC,1,fail,vulnerability_id has an unknown id
324,WTC,1,fail,area_peril_id has an unknown id
325,WTC,1,fail,area_peril_id has an unknown id
326,WTC,1,fail,vulnerability_id has an unknown id
327,WTC,1,fail,area_peril_id has an unknown id
330,WTC,1,fail,vulnerability_id has an unknown id
331,WTC,1,fail,vulnerability_id has an unknown id
332,WTC,1,fail,area_peril_id has an unknown id
333,WTC,1,fail,vulnerability_id has an unknown id
334,WTC,1,fail,vulnerability_id has an unknown id
335,WTC,1,fail,area_peril_id has an unknown id
336,WTC,1,fail,area_peril_id has an unknown id
337,WTC,1,fail,area_peril_id has an unknown id
339,WTC,1,fail,vulnerability_id has an unknown id
341,WTC,1,fail,area_peril_id has an unknown id
342,WTC,1,fail,area_peril_id has an unknown id
343,WTC,1,fail,area_peril_id has an unknown id
344,WTC,1,fail,area_peril_id has an unknown id
345,WTC,1,fail,vulnerability_id has an unknown id
346,WTC,1,fail,area_peril_id has an unknown id
347,WTC,1,fail,area_peril_id has an unknown id
348,WTC,1,fail,area_peril_id has an unknown id
349,WTC,1,fail,area_peril_id has an unknown id
350,WTC,1,fail,area_peril_id has an unknown id
352,WTC,1,fail,area_peril_id has an unknown id
353,WTC,1,fail,vulnerability_id has an unknown id
354,WTC,1,fail,vulnerability_id has an unknown id
355,WTC,1,fail,area_peril_id has an unknown id
356,WTC,1,fail,vulnerability_id has an unknown id
357,WTC,1,fail,vulnerability_id has an unknown id
358,WTC,1,fail,vulnerability_id has an unknown id
359,WTC,1,fail,area_peril_id has an unknown id
360,WTC,1,fail,area_peril_id has an unknown id
361,WTC,1,fail,area_peril_id has an unknown id
363,WTC,1,fail,area_peril_id has an unknown id
364,WTC,1,fail,vulnerability_id has an unknown id
365,WTC,1,fail,area_peril_id has an unknown id
366,WTC,1,fail,area_peril_id has an unknown id
367,WTC,1,fail,area_peril_id has an unknown id
368,WTC,1,fail,area_peril_id has an unknown id
369,WTC,1,fail,vulnerability_id has an unknown id
370,WTC,1,fail,vulnerability_id has an unknown id
371,WTC,1,fail,area_peril_id has an unknown id
372,WTC,1,fail,area_peril_id has an unknown id
374,WTC,1,fail,area_peril_id has an unknown id
375,WTC,1,fail,area_peril_id has an unknown id
376,WTC,1,fail,vulnerability_id has an unknown id
377,WTC,1,fail,area_peril_id has an unknown id
378,WTC,1,fail,vulnerability_id has an unknown id
379,WTC,1,fail,area_peril_id has an unknown id
380,WTC,1,fail,vulnerability_id has an unknown id
381,WTC,1,fail,vulnerability_id has an unknown id
382,WTC,1,fail,area_peril_id has an unknown id
383,WTC,1,fail,area_peril_id has an unknown id
385,WTC,1,fail,area_peril_id has an unknown id
386,WTC,1,fail,area_peril_id has an unknown id
387,WTC,1,fail,area_peril_id has an unknown id
388,WTC,1,fail,area_peril_id has an unknown id
10,WTC,1,fail,area_peril_id has an unknown id
18,WTC,1,fail,vulnerability_id has an unknown id
